catcherid,balls,strikes,is_lhb,is_lhp,is_strike,is_swing,is_miss,is_ballinplay,px,pz,SpinRate,InducedVerticalBreak,HorizontalBreak,Pitch_Type
3,0,0,0,0,0,0,0,0,-1.316,2.147,2324.747541,17.01294185,0.181146694,FourSeam Fastball
3,1,0,0,0,1,0,0,0,-0.874,2.067,2343.727522,18.25801326,-0.16949445,FourSeam Fastball
3,1,1,0,0,1,0,0,0,-0.193,2.001,2364.141096,17.61839725,2.082121938,FourSeam Fastball
3,1,2,0,0,1,1,1,0,-0.026,1.106,1794.461653,4.807250038,13.7696062,Changeup
3,0,0,1,0,0,1,0,1,-0.053,1.966,2438.170637,-14.41738556,-8.063456923,Curveball
3,0,0,0,0,0,1,0,1,-0.176,2.367,2257.187727,16.82805492,-0.392455786,FourSeam Fastball
3,0,0,0,0,0,0,0,0,-1.198,2.178,2313.969221,17.12421085,-2.776974589,FourSeam Fastball
3,1,0,0,0,1,1,0,0,0.024,1.829,2335.339582,18.87210323,0.423589647,FourSeam Fastball
3,1,1,0,0,1,1,1,0,-0.464,0.855,1789.813093,2.948358789,10.08630142,Changeup
3,1,2,0,0,1,1,0,0,-1.394,2.331,2418.224348,19.62364818,2.034922808,FourSeam Fastball
3,1,2,0,0,0,0,0,0,-1.619,-0.283,2666.329329,1.278583422,-6.463549048,Slider
3,2,2,0,0,0,0,0,0,-1.608,0.204,2661.329817,-0.338365659,-6.098184973,Slider
3,3,2,0,0,1,1,1,0,0.439,1.95,2505.070784,-13.18060063,-9.571230322,Curveball
3,0,0,1,0,0,1,0,1,0.19,1.498,2280.013899,17.3801408,1.56542477,FourSeam Fastball
3,0,0,1,1,0,0,0,0,0.89,1.415,2522.909407,-13.42076539,11.18240604,Curveball
3,1,0,1,1,1,1,1,0,0.297,1.278,1132.581404,-0.338577822,-9.320260435,Splitter
3,1,1,1,1,1,1,1,0,0.045,1.234,1831.399275,8.58223106,-6.544548422,Cut Fastball
3,1,2,1,1,0,0,0,0,1.12,0.472,1209.455549,-1.869826064,-9.876805693,Splitter
3,2,2,1,1,1,1,0,0,-0.504,2.838,1895.294294,5.385718361,1.667341322,Cut Fastball
3,2,2,1,1,0,1,0,1,-0.529,3.191,2065.106428,11.53509475,-14.10518971,FourSeam Fastball
3,0,0,1,0,1,1,1,0,-0.002,2.38,2175.393538,18.5469289,7.021824926,FourSeam Fastball
3,0,1,1,0,0,0,0,0,0.895,2.359,2159.88011,17.69656612,5.511225313,FourSeam Fastball
3,1,1,1,0,0,0,0,0,1.404,2.476,1692.253523,8.677871242,14.19846115,Changeup
3,2,1,1,0,1,1,0,0,-0.195,2.326,2012.834944,15.69688942,6.355523199,FourSeam Fastball
3,2,2,1,0,1,1,1,0,0.413,2.28,2078.796858,17.47544147,5.211334795,FourSeam Fastball
3,0,0,0,0,1,0,0,0,-0.787,2.858,2136.667219,15.71281387,5.48380813,FourSeam Fastball
3,0,1,0,0,1,1,1,0,-0.732,2.808,2119.501204,16.49955608,4.367720217,FourSeam Fastball
3,0,2,0,0,1,1,0,0,0.17,3.419,2112.071272,16.77677013,3.00917086,FourSeam Fastball
3,0,2,0,0,0,0,0,0,-1.745,1.948,2237.051741,18.3550172,3.554962248,FourSeam Fastball
3,1,2,0,0,1,1,0,0,0.563,2.146,2138.752668,17.15652515,6.69269523,FourSeam Fastball
3,1,2,0,0,0,0,0,0,-1.131,3.171,2074.497297,-3.809220299,-2.731627852,Curveball
3,2,2,0,0,1,1,0,0,-0.558,1.525,2120.194807,0.853009954,-2.617818981,Curveball
3,2,2,0,0,1,1,0,0,-0.562,1.716,2175.104475,15.42324497,7.235710233,FourSeam Fastball
3,2,2,0,0,0,0,0,0,-0.256,3.616,2058.484602,15.40711929,4.652072996,FourSeam Fastball
3,3,2,0,0,1,1,0,0,0.038,2.043,1661.6201,11.03950168,12.4227291,Changeup
3,3,2,0,0,1,1,0,0,0.377,1.921,1746.403059,14.6107154,10.67660674,Changeup
3,3,2,0,0,1,1,0,0,-0.414,2.618,1992.424299,19.15164615,2.734518141,FourSeam Fastball
3,3,2,0,0,0,1,0,1,-0.446,1.669,2105.845198,15.12504341,6.368484586,FourSeam Fastball
3,0,0,1,0,0,0,0,0,1.082,2.388,2077.011946,15.72532608,7.313986868,FourSeam Fastball
3,1,0,1,0,0,0,0,0,1.274,2.36,2078.868391,17.08747531,9.251803011,FourSeam Fastball
3,2,0,1,0,1,1,0,0,0.536,1.88,2071.111311,15.80324031,7.889729589,FourSeam Fastball
3,2,1,1,0,0,0,0,0,-0.276,0.748,1742.330671,13.32654049,9.749222368,Changeup
3,3,1,1,0,0,1,0,1,0.264,1.179,2062.229231,14.64566375,5.013412565,FourSeam Fastball
3,0,0,0,0,0,0,0,0,-0.59,4.442,2040.382307,0.50260444,-2.15631023,Curveball
3,1,0,0,0,1,0,0,0,-0.828,2.45,2207.469221,18.11474277,4.552361578,FourSeam Fastball
3,1,1,0,0,1,0,0,0,-0.467,1.709,2169.62718,18.71168186,3.440581888,FourSeam Fastball
3,1,2,0,0,0,0,0,0,-1.37,1.867,2182.177717,19.87056591,3.496573061,FourSeam Fastball
3,2,2,0,0,1,1,0,0,-1.136,1.995,2083.089094,-0.434352189,-0.313760191,Curveball
3,2,2,0,0,1,1,0,0,-0.008,2.8,2196.398909,18.02292491,5.985295862,FourSeam Fastball
3,2,2,0,0,0,0,0,0,-1.698,1.827,2087.11302,15.9026189,4.979486078,FourSeam Fastball
3,3,2,0,0,0,1,0,1,-0.489,2.458,2166.761702,17.48815013,3.26925692,FourSeam Fastball
3,0,0,1,0,1,1,1,0,1.183,2.047,1596.03282,8.658637539,13.23387775,Changeup
3,0,1,1,0,0,1,0,1,-0.593,3.095,2208.516584,18.15190364,3.847095579,FourSeam Fastball
3,0,0,0,0,1,0,0,0,-0.287,2.076,2317.118879,18.30401661,6.243274301,FourSeam Fastball
3,0,1,0,0,1,0,0,0,-0.529,1.565,2328.255842,17.552094,7.047302336,FourSeam Fastball
3,0,2,0,0,0,0,0,0,-1.236,2.565,2241.574934,17.46722271,8.199196428,FourSeam Fastball
